[2022-08-08 23:34:35.711031][Task_List] ['receive_energy', 'mission_explore', 'shopping', 'mission_arena', 'mission_gashapon', 'mission_guild', 'mission_dungeons', 'mission_princess_arena', 'mission_complete']
[2022-08-08 23:34:35.765719][Task] initial
[2022-08-11 23:18:17.609212][Task] <click> blank_button
[2022-08-11 23:18:17.637506][mission_explore][blank_button][click] (68.0, 145.0)
[2022-08-11 23:18:17.642686][mission_explore][blank_button][idle] 5.19 seconds
[2022-08-11 23:18:22.836178][Task] <click> level_button
[2022-08-11 23:18:22.875019][mission_explore][level_button][click] (965.0, 210.0)
[2022-08-11 23:18:22.881778][mission_explore][level_button][idle] 5.54 seconds
[2022-08-11 23:18:28.425208][Task] <click> attack_button
[2022-08-11 23:18:28.428138][mission_explore][attack_button][click] (1019.0, 435.0)
[2022-08-11 23:18:28.433998][mission_explore][attack_button][idle] 4.48 seconds
[2022-08-11 23:18:32.918909][Task] <click> ok_button
[2022-08-11 23:18:32.966286][mission_explore][ok_button][click] (791.0, 485.0)
[2022-08-11 23:18:32.972146][mission_explore][ok_button][idle] 9.95 seconds
[2022-08-11 23:18:42.925933][Task] <click> blank_button
[2022-08-11 23:18:42.938280][mission_explore][blank_button][click] (52.0, 149.0)
[2022-08-11 23:18:42.957252][mission_explore][blank_button][idle] 5.96 seconds
[2022-08-11 23:18:48.920142][Task] mission_princess_arena
[2022-08-11 23:18:48.923073][Task] <click> adventure_button
[2022-08-11 23:18:48.926002][mission_princess_arena][adventure_button][click] (620.0, 677.0)
[2022-08-11 23:18:48.932697][mission_princess_arena][adventure_button][idle] 5.58 seconds
[2022-08-11 23:18:54.518226][Task] <click> princess_arena_button
[2022-08-11 23:18:54.521156][mission_princess_arena][princess_arena_button][click] (1141.0, 540.0)
[2022-08-11 23:18:54.528121][mission_princess_arena][princess_arena_button][idle] 6.05 seconds
[2022-08-11 23:19:00.587585][Task] <click> blank_button
[2022-08-11 23:19:00.591735][mission_princess_arena][blank_button][click] (65.0, 149.0)
[2022-08-11 23:19:00.598280][mission_princess_arena][blank_button][idle] 5.11 seconds
[2022-08-11 23:19:05.714107][Task] <click> receive_button
[2022-08-11 23:19:05.733627][mission_princess_arena][receive_button][click] (399.0, 462.0)
[2022-08-11 23:19:05.743392][mission_princess_arena][receive_button][idle] 3.72 seconds
[2022-08-12 23:29:14.838828][Task_List] ['receive_energy', 'mission_gashapon', 'shopping', 'mission_explore', 'mission_arena', 'mission_guild', 'mission_dungeons', 'mission_princess_arena', 'mission_complete']
[2022-08-12 23:29:14.851526][Task] initial
[2022-08-12 23:29:14.853477][Task] <click> blank_button
[2022-08-12 23:29:14.856406][initial][blank_button][click] (2.0, 0)
[2022-08-12 23:29:14.864220][initial][blank_button][idle] 12.1 seconds
[2022-08-12 23:29:20.979268][Task_List] ['receive_energy', 'mission_dungeons', 'mission_guild', 'shopping', 'mission_arena', 'mission_explore', 'mission_gashapon', 'mission_princess_arena', 'mission_complete']
[2022-08-12 23:29:20.986104][Task] initial
[2022-08-12 23:29:20.988059][Task] <click> blank_button
[2022-08-12 23:29:20.991963][initial][blank_button][click] (5.0, 4.0)
[2022-08-12 23:29:20.997824][initial][blank_button][idle] 12.08 seconds
[2022-08-12 23:29:33.082395][Task] receive_energy
[2022-08-12 23:29:33.099960][Task] <click> home_button
[2022-08-12 23:29:33.101914][receive_energy][home_button][click] (850.0, 690.0)
[2022-08-12 23:29:33.107773][receive_energy][home_button][idle] 5.97 seconds
[2022-08-12 23:29:39.080971][Task] <click> receive_button
[2022-08-12 23:29:39.084877][receive_energy][receive_button][click] (1198.0, 562.0)
[2022-08-12 23:29:39.092677][receive_energy][receive_button][idle] 4.44 seconds
[2022-08-12 23:29:43.536435][Task] <click> blank_button
[2022-08-12 23:29:43.539365][receive_energy][blank_button][click] (55.0, 44.0)
[2022-08-12 23:29:43.545214][receive_energy][blank_button][idle] 3.96 seconds
[2022-08-12 23:29:47.509553][Task] mission_dungeons
[2022-08-12 23:29:47.513445][Task] <click> adventure_button
[2022-08-12 23:29:47.517364][mission_dungeons][adventure_button][click] (623.0, 692.0)
[2022-08-12 23:29:47.526141][mission_dungeons][adventure_button][idle] 7.98 seconds
[2022-08-12 23:29:55.511339][Task] <click> dungeons_button
[2022-08-12 23:29:55.514269][mission_dungeons][dungeons_button][click] (1182.0, 178.0)
[2022-08-12 23:29:55.522082][mission_dungeons][dungeons_button][idle] 6.28 seconds
[2022-08-12 23:30:01.806389][Task] <click> last_extreme_button
[2022-08-12 23:30:01.809319][mission_dungeons][last_extreme_button][click] (1116.0, 298.0)
[2022-08-12 23:30:01.816142][mission_dungeons][last_extreme_button][idle] 5.1 seconds
[2022-08-12 23:30:06.920372][Task] <click> ok_button
[2022-08-12 23:30:06.953020][mission_dungeons][ok_button][click] (775.0, 572.0)
[2022-08-12 23:30:06.962774][mission_dungeons][ok_button][idle] 5.52 seconds
[2022-08-12 23:30:12.489621][Task] <click> first_enemy
[2022-08-12 23:30:12.508390][mission_dungeons][first_enemy][click] (901.0, 365.0)
[2022-08-12 23:30:12.524991][mission_dungeons][first_enemy][idle] 5.24 seconds
[2022-08-12 23:30:17.771102][Task] <click> challenge_button
[2022-08-12 23:30:17.776962][mission_dungeons][challenge_button][click] (1116.0, 614.0)
[2022-08-12 23:30:17.792588][mission_dungeons][challenge_button][idle] 7.28 seconds
[2022-08-12 23:30:25.086275][Task] <click> my_team_button
[2022-08-12 23:30:25.091173][mission_dungeons][my_team_button][click] (1135.0, 121.0)
[2022-08-12 23:30:25.104833][mission_dungeons][my_team_button][idle] 4.35 seconds
[2022-08-12 23:30:29.467139][Task] <click> call_button
[2022-08-12 23:30:29.473000][mission_dungeons][call_button][click] (1079.0, 275.0)
[2022-08-12 23:30:29.486471][mission_dungeons][call_button][idle] 3.36 seconds
[2022-08-12 23:30:32.853998][Task] <click> attack_button
[2022-08-12 23:30:32.861799][mission_dungeons][attack_button][click] (1125.0, 605.0)
[2022-08-12 23:30:32.877664][mission_dungeons][attack_button][idle] 37.4 seconds
[2022-08-12 23:31:10.284689][Task] <click> next_button
[2022-08-12 23:31:10.331700][mission_dungeons][next_button][click] (1129.0, 658.0)
[2022-08-12 23:31:10.344823][mission_dungeons][next_button][idle] 7.67 seconds
[2022-08-12 23:31:18.024418][Task] <click> blank_button
[2022-08-12 23:31:18.039206][mission_dungeons][blank_button][click] (54.0, 134.0)
[2022-08-12 23:31:18.053855][mission_dungeons][blank_button][idle] 8.82 seconds
[2022-08-12 23:31:26.881011][Task] <click> second_enemy
[2022-08-12 23:31:26.924198][mission_dungeons][second_enemy][click] (637.0, 345.0)
[2022-08-12 23:31:26.936456][mission_dungeons][second_enemy][idle] 4.91 seconds
[2022-08-12 23:31:31.853442][Task] <click> challenge_button
[2022-08-12 23:31:31.882441][mission_dungeons][challenge_button][click] (1120.0, 607.0)
[2022-08-12 23:31:31.894160][mission_dungeons][challenge_button][idle] 5.42 seconds
[2022-08-12 23:31:37.328385][Task] <click> attack_button
[2022-08-12 23:31:37.340305][mission_dungeons][attack_button][click] (1113.0, 608.0)
[2022-08-12 23:31:37.361083][mission_dungeons][attack_button][idle] 36.03 seconds
[2022-08-12 23:32:13.403903][Task] <click> next_button
[2022-08-12 23:32:13.409763][mission_dungeons][next_button][click] (1131.0, 657.0)
[2022-08-12 23:32:13.427342][mission_dungeons][next_button][idle] 7.6 seconds
[2022-08-12 23:32:21.034403][Task] <click> blank_button
[2022-08-12 23:32:21.040263][mission_dungeons][blank_button][click] (56.0, 143.0)
[2022-08-12 23:32:21.053936][mission_dungeons][blank_button][idle] 8.83 seconds
[2022-08-12 23:32:29.893120][Task] <click> third_enemy
[2022-08-12 23:32:29.923348][mission_dungeons][third_enemy][click] (291.0, 329.0)
[2022-08-12 23:32:29.937997][mission_dungeons][third_enemy][idle] 3.42 seconds
[2022-08-12 23:32:33.364803][Task] <click> challenge_button
[2022-08-12 23:32:33.373878][mission_dungeons][challenge_button][click] (1107.0, 600.0)
[2022-08-12 23:32:33.394343][mission_dungeons][challenge_button][idle] 5.81 seconds
[2022-08-12 23:32:39.218590][Task] <click> attack_button
[2022-08-12 23:32:39.249293][mission_dungeons][attack_button][click] (1107.0, 606.0)
[2022-08-12 23:32:39.261975][mission_dungeons][attack_button][idle] 37.23 seconds
[2022-08-12 23:33:16.503646][Task] <click> next_button
[2022-08-12 23:33:16.536981][mission_dungeons][next_button][click] (1105.0, 650.0)
[2022-08-12 23:33:16.549663][mission_dungeons][next_button][idle] 5.8 seconds
[2022-08-12 23:33:22.356616][Task] <click> blank_button
[2022-08-12 23:33:22.406048][mission_dungeons][blank_button][click] (56.0, 146.0)
[2022-08-12 23:33:22.419726][mission_dungeons][blank_button][idle] 8.67 seconds
[2022-08-12 23:33:31.096962][Task] <click> fourth_enemy
[2022-08-12 23:33:31.103798][mission_dungeons][fourth_enemy][click] (652.0, 338.0)
[2022-08-12 23:33:31.136030][mission_dungeons][fourth_enemy][idle] 5.05 seconds
[2022-08-12 23:33:36.192750][Task] <click> challenge_button
[2022-08-12 23:33:36.199587][mission_dungeons][challenge_button][click] (1124.0, 619.0)
[2022-08-12 23:33:36.218142][mission_dungeons][challenge_button][idle] 6.5 seconds
[2022-08-12 23:33:42.728890][Task] <click> attack_button
[2022-08-12 23:33:42.776090][mission_dungeons][attack_button][click] (1106.0, 599.0)
[2022-08-12 23:33:42.788787][mission_dungeons][attack_button][idle] 37.81 seconds
[2022-08-12 23:34:20.610375][Task] <click> next_button
[2022-08-12 23:34:20.659997][mission_dungeons][next_button][click] (1093.0, 659.0)
[2022-08-12 23:34:20.673671][mission_dungeons][next_button][idle] 7.86 seconds
[2022-08-12 23:34:28.541497][Task] <click> blank_button
[2022-08-12 23:34:28.549311][mission_dungeons][blank_button][click] (57.0, 136.0)
[2022-08-12 23:34:28.563960][mission_dungeons][blank_button][idle] 9.63 seconds
[2022-08-12 23:34:38.204108][Task] <click> retreat_button
[2022-08-12 23:34:38.238172][mission_dungeons][retreat_button][click] (1081.0, 571.0)
[2022-08-12 23:34:38.257798][mission_dungeons][retreat_button][idle] 5.97 seconds
[2022-08-12 23:34:44.242354][Task] <click> comfirm_button
[2022-08-12 23:34:44.248214][mission_dungeons][comfirm_button][click] (787.0, 490.0)
[2022-08-12 23:34:44.264282][mission_dungeons][comfirm_button][idle] 5.45 seconds
[2022-08-12 23:34:49.727248][Task] mission_guild
[2022-08-12 23:34:49.736030][Task] <click> main_button
[2022-08-12 23:34:49.743856][mission_guild][main_button][click] (115.0, 671.0)
[2022-08-12 23:34:49.752643][mission_guild][main_button][idle] 6.83 seconds
[2022-08-12 23:34:56.593152][Task] <click> guild_button
[2022-08-12 23:34:56.619507][mission_guild][guild_button][click] (917.0, 573.0)
[2022-08-12 23:34:56.628298][mission_guild][guild_button][idle] 5.4 seconds
[2022-08-12 23:35:02.035149][Task] <click> blank_button
[2022-08-12 23:35:02.078136][mission_guild][blank_button][click] (62.0, 141.0)
[2022-08-12 23:35:02.086926][mission_guild][blank_button][idle] 5.99 seconds
[2022-08-12 23:35:08.084276][Task] <click> friend_button
[2022-08-12 23:35:08.134507][mission_guild][friend_button][click] (325.0, 460.0)
[2022-08-12 23:35:08.142333][mission_guild][friend_button][idle] 5.44 seconds
[2022-08-12 23:35:13.589441][Task] <click> like_button
[2022-08-12 23:35:13.596278][mission_guild][like_button][click] (1097.0, 419.0)
[2022-08-12 23:35:13.604100][mission_guild][like_button][idle] 4.15 seconds
[2022-08-12 23:35:17.764321][Task] <click> blank_button
[2022-08-12 23:35:17.771160][mission_guild][blank_button][click] (63.0, 142.0)
[2022-08-12 23:35:17.778972][mission_guild][blank_button][idle] 4.47 seconds
[2022-08-12 23:35:22.256135][Task] shopping
[2022-08-12 23:35:22.310537][Task] <click> main_button
[2022-08-12 23:35:22.316407][shopping][main_button][click] (115.0, 690.0)
[2022-08-12 23:35:22.324209][shopping][main_button][idle] 6.47 seconds
[2022-08-12 23:35:28.800540][Task] <click> shop_button
[2022-08-12 23:35:28.805424][shopping][shop_button][click] (822.0, 565.0)
[2022-08-12 23:35:28.814213][shopping][shop_button][idle] 5.74 seconds
[2022-08-12 23:35:34.562169][Task] <click> first_cargo
[2022-08-12 23:35:34.569004][shopping][first_cargo][click] (517.0, 196.0)
[2022-08-12 23:35:34.579747][shopping][first_cargo][idle] 1.59 seconds
[2022-08-12 23:35:36.176474][Task] <click> second_cargo
[2022-08-12 23:35:36.201686][shopping][second_cargo][click] (742.0, 203.0)
[2022-08-12 23:35:36.209501][shopping][second_cargo][idle] 1.95 seconds
[2022-08-12 23:35:38.166929][Task] <click> third_cargo
[2022-08-12 23:35:38.174603][shopping][third_cargo][click] (971.0, 205.0)
[2022-08-12 23:35:38.185055][shopping][third_cargo][idle] 1.07 seconds
[2022-08-12 23:35:39.264101][Task] <click> fourth_cargo
[2022-08-12 23:35:39.305789][shopping][fourth_cargo][click] (1198.0, 198.0)
[2022-08-12 23:35:39.313602][shopping][fourth_cargo][idle] 3.21 seconds
[2022-08-12 23:35:42.530660][Task] <click> buy_button
[2022-08-12 23:35:42.547236][shopping][buy_button][click] (1016.0, 584.0)
[2022-08-12 23:35:42.556011][shopping][buy_button][idle] 3.5 seconds
[2022-08-12 23:35:46.064253][Task] <click> ok_button
[2022-08-12 23:35:46.092274][shopping][ok_button][click] (757.0, 631.0)
[2022-08-12 23:35:46.100086][shopping][ok_button][idle] 3.18 seconds
[2022-08-12 23:35:49.287200][Task] <click> blank_button
[2022-08-12 23:35:49.332123][shopping][blank_button][click] (182.0, 205.0)
[2022-08-12 23:35:49.339936][shopping][blank_button][idle] 3.3 seconds
[2022-08-12 23:35:52.648258][Task] mission_arena
[2022-08-12 23:35:52.674615][Task] <click> adventure_button
[2022-08-12 23:35:52.680475][mission_arena][adventure_button][click] (624.0, 676.0)
[2022-08-12 23:35:52.696102][mission_arena][adventure_button][idle] 6.43 seconds
[2022-08-12 23:35:59.133430][Task] <click> arena_button
[2022-08-12 23:35:59.167060][mission_arena][arena_button][click] (768.0, 526.0)
[2022-08-12 23:35:59.184638][mission_arena][arena_button][idle] 6.35 seconds
[2022-08-12 23:36:05.540573][Task] <click> blank_button
[2022-08-12 23:36:05.546433][mission_arena][blank_button][click] (70.0, 131.0)
[2022-08-12 23:36:05.555222][mission_arena][blank_button][idle] 5.77 seconds
[2022-08-12 23:36:11.332397][Task] <click> receive_button
[2022-08-12 23:36:11.337280][mission_arena][receive_button][click] (387.0, 457.0)
[2022-08-12 23:36:11.354860][mission_arena][receive_button][idle] 3.8 seconds
[2022-08-12 23:36:15.163531][Task] <click> blank_button
[2022-08-12 23:36:15.191024][mission_arena][blank_button][click] (58.0, 140.0)
[2022-08-12 23:36:15.200790][mission_arena][blank_button][idle] 3.74 seconds
[2022-08-12 23:36:18.947346][Task] <click> first_person
[2022-08-12 23:36:18.955159][mission_arena][first_person][click] (809.0, 238.0)
[2022-08-12 23:36:18.962972][mission_arena][first_person][idle] 3.35 seconds
[2022-08-12 23:36:22.320923][Task] <click> attack_button
[2022-08-12 23:36:22.325807][mission_arena][attack_button][click] (1104.0, 595.0)
[2022-08-12 23:36:22.338502][mission_arena][attack_button][idle] 8.15 seconds
[2022-08-12 23:36:30.494991][Task] <click> skip_button
[2022-08-12 23:36:30.518429][mission_arena][skip_button][click] (1228.0, 472.0)
[2022-08-12 23:36:30.528195][mission_arena][skip_button][idle] 8.01 seconds
[2022-08-12 23:36:38.545849][Task] <click> next_button
[2022-08-12 23:36:38.598584][mission_arena][next_button][click] (1096.0, 662.0)
[2022-08-12 23:36:38.606399][mission_arena][next_button][idle] 5.38 seconds
[2022-08-12 23:36:43.992698][Task] <click> blank_button
[2022-08-12 23:36:44.000512][mission_arena][blank_button][click] (54.0, 144.0)
[2022-08-12 23:36:44.009300][mission_arena][blank_button][idle] 4.14 seconds
[2022-08-12 23:36:48.157276][Task] <click> blank_button
[2022-08-12 23:36:48.163137][mission_arena][blank_button][click] (56.0, 134.0)
[2022-08-12 23:36:48.171927][mission_arena][blank_button][idle] 4.14 seconds
[2022-08-12 23:36:52.319305][Task] mission_explore
[2022-08-12 23:36:52.325178][Task] <click> adventure_button
[2022-08-12 23:36:52.332990][mission_explore][adventure_button][click] (658.0, 675.0)
[2022-08-12 23:36:52.344229][mission_explore][adventure_button][idle] 7.72 seconds
[2022-08-12 23:37:00.074228][Task] <click> explore_button
[2022-08-12 23:37:00.124157][mission_explore][explore_button][click] (995.0, 192.0)
[2022-08-12 23:37:00.136853][mission_explore][explore_button][idle] 7.28 seconds
[2022-08-12 23:37:07.423566][Task] <click> exp_button
[2022-08-12 23:37:07.431366][mission_explore][exp_button][click] (790.0, 321.0)
[2022-08-12 23:37:07.438210][mission_explore][exp_button][idle] 7.53 seconds
[2022-08-12 23:37:14.974261][Task] <click> level_button
[2022-08-12 23:37:15.000889][mission_explore][level_button][click] (967.0, 194.0)
[2022-08-12 23:37:15.014563][mission_explore][level_button][idle] 7.67 seconds
[2022-08-12 23:37:22.692881][Task] <click> attack_button
[2022-08-12 23:37:22.699718][mission_explore][attack_button][click] (1022.0, 436.0)
[2022-08-12 23:37:22.711437][mission_explore][attack_button][idle] 4.39 seconds
[2022-08-12 23:37:27.108679][Task] <click> ok_button
[2022-08-12 23:37:27.159882][mission_explore][ok_button][click] (793.0, 487.0)
[2022-08-12 23:37:27.170626][mission_explore][ok_button][idle] 8.54 seconds
[2022-08-12 23:37:35.720126][Task] <click> blank_button
[2022-08-12 23:37:35.750705][mission_explore][blank_button][click] (54.0, 132.0)
[2022-08-12 23:37:35.760471][mission_explore][blank_button][idle] 5.63 seconds
[2022-08-12 23:37:41.398781][Task] <click> level_button
[2022-08-12 23:37:41.417524][mission_explore][level_button][click] (959.0, 196.0)
[2022-08-12 23:37:41.431197][mission_explore][level_button][idle] 6.75 seconds
[2022-08-12 23:37:48.188227][Task] <click> attack_button
[2022-08-12 23:37:48.193109][mission_explore][attack_button][click] (1018.0, 445.0)
[2022-08-12 23:37:48.205812][mission_explore][attack_button][idle] 4.84 seconds
[2022-08-12 23:37:53.054423][Task] <click> ok_button
[2022-08-12 23:37:53.060442][mission_explore][ok_button][click] (780.0, 493.0)
[2022-08-12 23:37:53.069235][mission_explore][ok_button][idle] 9.69 seconds
[2022-08-12 23:38:02.766149][Task] <click> blank_button
[2022-08-12 23:38:02.772699][mission_explore][blank_button][click] (53.0, 145.0)
[2022-08-12 23:38:02.783559][mission_explore][blank_button][idle] 5.54 seconds
[2022-08-12 23:38:08.335902][Task] mission_gashapon
[2022-08-12 23:38:08.342225][Task] <click> gashapon_button
[2022-08-12 23:38:08.348466][mission_gashapon][gashapon_button][click] (999.0, 693.0)
[2022-08-12 23:38:08.362188][mission_gashapon][gashapon_button][idle] 5.84 seconds
[2022-08-12 23:38:14.213062][Task] <click> blank_button
[2022-08-12 23:38:14.218461][mission_gashapon][blank_button][click] (69.0, 139.0)
[2022-08-12 23:38:14.232665][mission_gashapon][blank_button][idle] 3.17 seconds
[2022-08-12 23:38:17.409672][Task] <click> normal_button
[2022-08-12 23:38:17.459370][mission_gashapon][normal_button][click] (1188.0, 96.0)
[2022-08-12 23:38:17.473044][mission_gashapon][normal_button][idle] 5.9 seconds
[2022-08-12 23:38:23.380094][Task] <click> free_button
[2022-08-12 23:38:23.414931][mission_gashapon][free_button][click] (955.0, 455.0)
[2022-08-12 23:38:23.427661][mission_gashapon][free_button][idle] 4.54 seconds
[2022-08-12 23:38:27.975458][Task] <click> ok_button
[2022-08-12 23:38:27.983271][mission_gashapon][ok_button][click] (782.0, 487.0)
[2022-08-12 23:38:27.993513][mission_gashapon][ok_button][idle] 10.97 seconds
[2022-08-12 23:38:38.970277][Task] <click> receive_button
[2022-08-12 23:38:38.976137][mission_gashapon][receive_button][click] (632.0, 595.0)
[2022-08-12 23:38:38.993260][mission_gashapon][receive_button][idle] 3.08 seconds
[2022-08-12 23:38:42.084349][Task] mission_princess_arena
[2022-08-12 23:38:42.130297][Task] <click> adventure_button
[2022-08-12 23:38:42.137133][mission_princess_arena][adventure_button][click] (635.0, 699.0)
[2022-08-12 23:38:42.160292][mission_princess_arena][adventure_button][idle] 6.07 seconds
[2022-08-12 23:38:48.241226][Task] <click> princess_arena_button
[2022-08-12 23:38:48.247749][mission_princess_arena][princess_arena_button][click] (1140.0, 549.0)
[2022-08-12 23:38:48.260606][mission_princess_arena][princess_arena_button][idle] 6.2 seconds
[2022-08-12 23:38:54.477168][Task] <click> blank_button
[2022-08-12 23:38:54.513382][mission_princess_arena][blank_button][click] (51.0, 150.0)
[2022-08-12 23:38:54.526196][mission_princess_arena][blank_button][idle] 5.03 seconds
[2022-08-12 23:38:59.568784][Task] <click> receive_button
[2022-08-12 23:38:59.573864][mission_princess_arena][receive_button][click] (394.0, 461.0)
[2022-08-12 23:38:59.592238][mission_princess_arena][receive_button][idle] 4.28 seconds
[2022-08-12 23:39:03.884411][Task] <click> blank_button
[2022-08-12 23:39:03.935327][mission_princess_arena][blank_button][click] (68.0, 130.0)
[2022-08-12 23:39:03.952858][mission_princess_arena][blank_button][idle] 5.26 seconds
[2022-08-12 23:39:09.225309][Task] <click> first_person
[2022-08-12 23:39:09.232369][mission_princess_arena][first_person][click] (814.0, 234.0)
[2022-08-12 23:39:09.253994][mission_princess_arena][first_person][idle] 4.21 seconds
[2022-08-12 23:39:13.475795][Task] <click> next_team_button
[2022-08-12 23:39:13.497157][mission_princess_arena][next_team_button][click] (1130.0, 597.0)
[2022-08-12 23:39:13.508618][mission_princess_arena][next_team_button][idle] 3.44 seconds
[2022-08-12 23:39:16.960348][Task] <click> next_team_button
[2022-08-12 23:39:16.966208][mission_princess_arena][next_team_button][click] (1133.0, 597.0)
[2022-08-12 23:39:16.980113][mission_princess_arena][next_team_button][idle] 4.05 seconds
[2022-08-12 23:39:21.043724][Task] <click> attack_button
[2022-08-12 23:39:21.050379][mission_princess_arena][attack_button][click] (1089.0, 594.0)
[2022-08-12 23:39:21.065685][mission_princess_arena][attack_button][idle] 10.61 seconds
[2022-08-12 23:39:31.685576][Task] <click> skip_button
[2022-08-12 23:39:32.369446][mission_princess_arena][skip_button][click] (1211.0, 476.0)
[2022-08-12 23:39:32.389166][mission_princess_arena][skip_button][idle] 11.62 seconds
[2022-08-12 23:39:44.020491][Task] <click> next_button
[2022-08-12 23:39:44.066466][mission_princess_arena][next_button][click] (1101.0, 652.0)
[2022-08-12 23:39:44.084455][mission_princess_arena][next_button][idle] 6.38 seconds
[2022-08-12 23:39:50.475796][Task] <click> blank_button
[2022-08-12 23:39:50.481203][mission_princess_arena][blank_button][click] (55.0, 144.0)
[2022-08-12 23:39:50.501236][mission_princess_arena][blank_button][idle] 5.64 seconds
[2022-08-12 23:39:56.152520][Task] <click> blank_button
[2022-08-12 23:39:56.158380][mission_princess_arena][blank_button][click] (68.0, 144.0)
[2022-08-12 23:39:56.170737][mission_princess_arena][blank_button][idle] 3.56 seconds
[2022-08-12 23:39:59.741128][Task] mission_complete
[2022-08-12 23:39:59.747965][Task] <click> main_button
[2022-08-12 23:39:59.754892][mission_complete][main_button][click] (135.0, 691.0)
[2022-08-12 23:39:59.767138][mission_complete][main_button][idle] 7.27 seconds
[2022-08-12 23:40:07.044721][Task] <click> mission_button
[2022-08-12 23:40:07.050840][mission_complete][mission_button][click] (1115.0, 583.0)
[2022-08-12 23:40:07.063811][mission_complete][mission_button][idle] 5.51 seconds
[2022-08-12 23:40:12.585374][Task] <click> receive_button
[2022-08-12 23:40:12.615428][mission_complete][receive_button][click] (1142.0, 582.0)
[2022-08-12 23:40:12.628436][mission_complete][receive_button][idle] 5.36 seconds
[2022-08-12 23:40:18.003819][Task] <click> blank_button
[2022-08-12 23:40:18.009550][mission_complete][blank_button][click] (60.0, 146.0)
[2022-08-12 23:40:18.022536][mission_complete][blank_button][idle] 4.48 seconds
[2022-08-12 23:40:22.509362][Connect] taskkill /f /im adb.exe
[2022-08-12 23:40:22.688734][Connect] F:\LDPlayer\LDPlayer4.0\adb.exe kill-server
[2022-08-12 23:40:22.702115]['SUCCESS: The process "adb.exe" with PID 6196 has been terminated.']
[2022-08-13 11:31:12.047149][Task_List] ['receive_energy', 'mission_arena', 'mission_dungeons', 'mission_guild', 'shopping', 'mission_gashapon', 'mission_explore', 'mission_princess_arena', 'mission_complete']
[2022-08-13 11:31:12.080353][Task] initial
[2022-08-13 11:31:12.104768][Task] <click> blank_button
[2022-08-13 11:31:12.110029][initial][blank_button][click] (0, 0)
[2022-08-13 11:31:12.136397][initial][blank_button][idle] 11.71 seconds
[2022-08-13 11:31:17.051352][Task_List] ['receive_energy', 'mission_guild', 'mission_gashapon', 'mission_dungeons', 'mission_arena', 'mission_explore', 'shopping', 'mission_princess_arena', 'mission_complete']
[2022-08-13 11:31:17.059165][Task] initial
[2022-08-13 11:31:17.095299][Task] <click> blank_button
[2022-08-13 11:31:17.098228][initial][blank_button][click] (0, 0)
[2022-08-13 11:31:17.105064][initial][blank_button][idle] 10.67 seconds
[2022-08-13 11:31:27.794213][Task] receive_energy
[2022-08-13 11:31:27.801049][Task] <click> home_button
[2022-08-13 11:31:27.804956][receive_energy][home_button][click] (811.0, 692.0)
[2022-08-13 11:31:27.812770][receive_energy][home_button][idle] 7.64 seconds
[2022-08-13 11:31:35.457510][Task] <click> receive_button
[2022-08-13 11:31:35.464347][receive_energy][receive_button][click] (1204.0, 562.0)
[2022-08-13 11:31:35.471183][receive_energy][receive_button][idle] 3.95 seconds
[2022-08-13 11:31:39.424578][Task] <click> blank_button
[2022-08-13 11:31:39.428486][receive_energy][blank_button][click] (70.0, 33.0)
[2022-08-13 11:31:39.435320][receive_energy][blank_button][idle] 3.13 seconds
[2022-08-13 11:31:42.569230][Task] mission_guild
[2022-08-13 11:31:42.573137][Task] <click> main_button
[2022-08-13 11:31:42.575090][mission_guild][main_button][click] (122.0, 699.0)
[2022-08-13 11:31:42.580949][mission_guild][main_button][idle] 7.46 seconds
[2022-08-13 11:31:50.045661][Task] <click> guild_button
[2022-08-13 11:31:50.053474][mission_guild][guild_button][click] (918.0, 573.0)
[2022-08-13 11:31:50.060310][mission_guild][guild_button][idle] 7.93 seconds
[2022-08-13 11:31:57.994717][Task] <click> blank_button
[2022-08-13 11:31:58.021784][mission_guild][blank_button][click] (68.0, 142.0)
[2022-08-13 11:31:58.030573][mission_guild][blank_button][idle] 5.55 seconds
[2022-08-13 11:32:03.584711][Task] <click> friend_button
[2022-08-13 11:32:03.588607][mission_guild][friend_button][click] (307.0, 468.0)
[2022-08-13 11:32:03.597396][mission_guild][friend_button][idle] 6.65 seconds
[2022-08-13 11:32:10.251018][Task] <click> like_button
[2022-08-13 11:32:10.255901][mission_guild][like_button][click] (1110.0, 425.0)
[2022-08-13 11:32:10.262738][mission_guild][like_button][idle] 5.89 seconds
[2022-08-13 11:32:16.156896][Task] <click> blank_button
[2022-08-13 11:32:16.165685][mission_guild][blank_button][click] (62.0, 137.0)
[2022-08-13 11:32:16.175451][mission_guild][blank_button][idle] 5.66 seconds
[2022-08-13 11:32:21.842223][Task] mission_gashapon
[2022-08-13 11:32:21.850036][Task] <click> gashapon_button
[2022-08-13 11:32:21.855882][mission_gashapon][gashapon_button][click] (985.0, 686.0)
[2022-08-13 11:32:21.868579][mission_gashapon][gashapon_button][idle] 6.45 seconds
[2022-08-13 11:32:28.332297][Task] <click> blank_button
[2022-08-13 11:32:28.341086][mission_gashapon][blank_button][click] (70.0, 132.0)
[2022-08-13 11:32:28.357688][mission_gashapon][blank_button][idle] 3.91 seconds
[2022-08-13 11:32:32.275445][Task] <click> normal_button
[2022-08-13 11:32:32.299434][mission_gashapon][normal_button][click] (1195.0, 103.0)
